,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
25,both,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7768614859257517,0.0,0.0
26,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,0.7286088972614125,0.0,0.0
27,both,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7286088972614125,0.0,0.0
28,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,0.6913221468897034,0.0,0.0
29,both,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6913221468897034,0.0,0.0
30,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,0.7013401914842279,0.0,0.0
31,both,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7013401914842279,0.0,0.0
32,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,0.6414570634252615,0.0,0.0
33,both,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6414570634252615,0.0,0.0
34,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,0.6913699813600357,0.0,0.0
35,both,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6913699813600357,0.0,0.0
36,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,0.6778360845706869,0.0,0.0
37,both,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6778360845706869,0.0,0.0
38,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,0.6548055390588114,0.0,0.0
39,both,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6548055390588114,0.0,0.0
40,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,0.6537198365349592,0.0,0.0
41,both,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6537198365349592,0.0,0.0
42,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,comet-da,sent,0.796103953683119,comet-da ref sent,0.676153360995314,0.0,0.0
43,both,ref,comet-da,sent,0.796103953683119,comet-da ref sent,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.676153360995314,0.0,0.0
44,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.6680320685135303,0.012325356361944984,0.05
45,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6680320685135303,0.012325356361944984,0.05
46,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.7331064313031158,0.004374412969110786,0.0
47,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7331064313031158,0.004374412969110786,0.0
48,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,bleu,sent,0.6539359872387543,bleu ref sent,0.6137339391391499,0.009759104208013847,0.0
49,both,ref,bleu,sent,0.6539359872387543,bleu ref sent,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6137339391391499,0.009759104208013847,0.0
